country,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,condition_score,HRS_of_light
Malawi,25.912054794520547,12.704931506849315,47.79178082191781,9.637808219178083,partly cloudy,Partly Cloudy,4,0.52
Malaysia,28.815068493150687,5.730684931506849,77.14520547945206,1.703013698630137,partly cloudy,Partly Cloudy,4,0.52
Maldives,28.10794520547945,19.06684931506849,75.02739726027397,6.037260273972603,patchy rain nearby,Rain,1,0.52
Mali,29.19232876712329,12.178630136986301,46.78082191780822,4.783287671232877,sunny,Clear,5,0.52
Malta,22.810410958904107,19.9413698630137,64.68767123287671,4.292602739726028,partly cloudy,Partly Cloudy,4,0.4
Marrocos,40.3,16.9,14.0,10.0,sunny,Clear,5,0.59
Marshall Islands,28.184931506849313,22.512328767123286,80.95890410958904,0.4054794520547945,overcast,Cloudy,3,0.51
Mauritania,24.302465753424656,21.33178082191781,51.013698630136986,3.8372602739726025,sunny,Clear,5,0.55
Mauritius,26.84767123287671,18.696438356164382,68.02191780821917,8.023561643835617,partly cloudy,Partly Cloudy,4,0.45
Mexico,14.240821917808217,5.998356164383562,68.97808219178083,0.8438356164383561,clear,Clear,5,0.5
Mexique,27.4,15.1,72.0,7.0,partly cloudy,Partly Cloudy,4,0.55
Micronesia,27.6827397260274,20.536164383561644,84.67123287671232,0.40273972602739727,overcast,Cloudy,3,0.51
Monaco,18.585479452054795,10.58027397260274,64.26849315068493,3.2405479452054795,partly cloudy,Partly Cloudy,4,0.55
Mongolia,2.6810958904109587,8.501917808219178,56.09041095890411,1.0293150684931507,partly cloudy,Partly Cloudy,4,0.5
Montenegro,20.063561643835616,7.53041095890411,55.71506849315068,3.96986301369863,partly cloudy,Partly Cloudy,4,0.46
Morocco,20.518630136986303,13.737808219178083,70.7095890410959,3.3917808219178083,partly cloudy,Partly Cloudy,4,0.41
Mozambique,27.445753424657536,15.01917808219178,57.2,8.406301369863014,partly cloudy,Partly Cloudy,4,0.44
Myanmar,30.443835616438356,10.96,72.0931506849315,1.6057534246575342,partly cloudy,Partly Cloudy,4,0.55
Namibia,25.457534246575342,17.76986301369863,27.589041095890412,9.137808219178083,sunny,Clear,5,0.57
Nepal,22.274246575342467,8.103835616438356,60.24383561643835,1.9389041095890411,partly cloudy,Partly Cloudy,4,0.5
Netherlands,13.113150684931508,16.705205479452054,74.18904109589042,2.5306849315068494,partly cloudy,Partly Cloudy,4,0.46
New Zealand,13.544109589041097,23.4986301369863,80.86575342465754,0.4054794520547945,clear,Clear,5,0.38
Nicaragua,24.374520547945206,9.763561643835615,86.47671232876712,2.0547945205479454,partly cloudy,Partly Cloudy,4,0.51
Niger,31.880273972602737,19.112876712328767,33.175342465753424,6.089315068493151,sunny,Clear,5,0.53
Nigeria,29.79808219178082,8.181095890410958,58.48219178082192,5.919726027397259,partly cloudy,Partly Cloudy,4,0.52
North Korea,12.302739726027397,11.035890410958904,63.4986301369863,0.6309589041095891,clear,Clear,5,0.5
Norway,7.935068493150686,14.411780821917809,75.21643835616439,2.283835616438356,sunny,Clear,5,0.47
Oman,31.48109589041096,15.954246575342466,49.64657534246575,7.212328767123288,sunny,Clear,5,0.57
Pakistan,28.87616438356164,10.32027397260274,28.213698630136985,5.126301369863014,sunny,Clear,5,0.5
Palau,27.73780821917808,16.62109589041096,83.86301369863014,0.6476712328767124,partly cloudy,Partly Cloudy,4,0.52
Panama,25.596986301369864,7.432054794520547,90.30410958904109,2.1084931506849314,partly cloudy,Partly Cloudy,4,0.52
Papua New Guinea,26.375890410958906,13.109041095890412,85.59726027397261,0.40684931506849314,partly cloudy,Partly Cloudy,4,0.5
Paraguay,21.48164383561644,10.388767123287671,63.443835616438356,2.3597260273972602,sunny,Clear,5,0.51
Peru,17.818082191780825,8.19890410958904,83.94520547945206,1.83013698630137,partly cloudy,Partly Cloudy,4,0.49
Philippines,29.76986301369863,13.029863013698629,73.34794520547945,0.8452054794520548,partly cloudy,Partly Cloudy,4,0.53
Poland,13.88082191780822,14.32986301369863,61.95342465753425,3.276164383561644,sunny,Clear,5,0.47
Portugal,18.051780821917806,15.57123287671233,73.53698630136986,3.1002739726027393,partly cloudy,Partly Cloudy,4,0.62
Qatar,32.45972602739726,19.238630136986302,39.3041095890411,7.298356164383562,sunny,Clear,5,0.57
Romania,17.49342465753425,12.37945205479452,53.11506849315069,4.148767123287671,sunny,Clear,5,0.46
Russia,11.468767123287673,14.742465753424657,63.33698630136986,3.1035616438356164,sunny,Clear,5,0.73
Rwanda,25.72246575342466,7.616986301369862,51.583561643835615,9.665479452054795,partly cloudy,Partly Cloudy,4,0.49
Saint Kitts And Nevis,27.027945205479455,24.507123287671234,78.17534246575343,2.20027397260274,partly cloudy,Partly Cloudy,4,0.55
Saint Lucia,27.291780821917808,19.866301369863013,80.84657534246575,2.303287671232877,partly cloudy,Partly Cloudy,4,0.53
Saint Vincent And The Grenadines,27.67287671232877,25.26821917808219,75.3945205479452,2.257808219178082,patchy rain nearby,Rain,1,0.53
Saint-Vincent-Et-Les-Grenadines,27.8,27.0,82.0,6.0,patchy rain nearby,Rain,1,0.53
Samoa,25.70986301369863,19.22219178082192,88.07945205479452,0.40712328767123285,partly cloudy,Partly Cloudy,4,0.52
San Marino,17.8413698630137,12.90931506849315,66.74246575342465,3.4764383561643837,sunny,Clear,5,0.37
Saudi Arabia,32.201369863013696,16.525753424657534,16.67945205479452,7.996712328767123,sunny,Clear,5,0.5
Saudi Arabien,45.0,24.5,7.0,11.0,sunny,Clear,5,0.56
Senegal,25.081643835616436,20.82109589041096,72.2958904109589,3.6347945205479455,sunny,Clear,5,0.53
Serbia,17.244657534246574,12.77068493150685,56.76986301369863,3.9649315068493154,sunny,Clear,5,0.65
Seychelles Islands,28.69945205479452,17.6586301369863,75.91506849315068,9.518630136986301,partly cloudy,Partly Cloudy,4,0.5
Sierra Leone,26.913150684931505,9.64986301369863,77.44657534246575,3.7936986301369866,partly cloudy,Partly Cloudy,4,0.51
Singapore,29.0,13.105205479452053,73.36438356164383,1.703013698630137,partly cloudy,Partly Cloudy,4,0.51
Slovakia,14.884383561643837,15.113972602739727,62.11506849315069,3.3734246575342466,sunny,Clear,5,0.46
Slovenia,14.65808219178082,7.3742465753424655,67.86575342465754,3.1843835616438354,partly cloudy,Partly Cloudy,4,0.55
Solomon Islands,26.336164383561645,8.667123287671233,88.5013698630137,0.4054794520547945,partly cloudy,Partly Cloudy,4,0.5
Somalia,29.144657534246573,27.655342465753428,73.58630136986301,9.402739726027397,partly cloudy,Partly Cloudy,4,0.52
South Africa,23.46849315068493,12.766575342465753,40.21095890410959,8.55917808219178,sunny,Clear,5,0.44
South Korea,14.502191780821919,10.035890410958904,66.65479452054795,0.6356164383561644,clear,Clear,5,0.51
Spain,17.300273972602742,11.432054794520548,58.29041095890411,3.60986301369863,sunny,Clear,5,0.63
Sri Lanka,29.867123287671234,16.34,74.72602739726027,3.5767123287671234,partly cloudy,Partly Cloudy,4,0.51
Sudan,34.07068493150685,17.74027397260274,31.986301369863014,8.297534246575342,sunny,Clear,5,0.53
Suriname,24.952328767123287,9.326027397260274,90.86301369863014,2.36,partly cloudy,Partly Cloudy,4,0.52
Swaziland,23.696164383561644,10.361917808219177,51.40547945205479,8.047123287671232,sunny,Clear,5,0.51
Sweden,10.981369863013699,15.384657534246575,68.10958904109589,2.4983561643835617,sunny,Clear,5,0.78
Switzerland,12.844931506849314,7.4693150684931515,71.1917808219178,2.7756164383561646,partly cloudy,Partly Cloudy,4,0.55
Syria,24.26493150684932,15.881643835616439,30.18082191780822,6.102739726027397,sunny,Clear,5,0.5
Tajikistan,21.805205479452052,7.271780821917807,38.30958904109589,4.365753424657535,sunny,Clear,5,0.51
Tanzania,27.44301369863014,11.836712328767122,45.04383561643836,10.473698630136987,partly cloudy,Partly Cloudy,4,0.49
Thailand,29.22082191780822,8.614794520547946,75.78630136986301,1.9164383561643836,partly cloudy,Partly Cloudy,4,0.53
Timor-Leste,25.974520547945207,8.683013698630138,77.58356164383562,0.82986301369863,patchy rain nearby,Rain,1,0.49
Togo,27.9,19.1,74.0,6.0,light rain shower,Rain,1,0.52
Tonga,23.72986301369863,21.70739726027397,88.41917808219178,0.4054794520547945,partly cloudy,Partly Cloudy,4,0.51
Trinidad And Tobago,25.857808219178082,11.216164383561644,86.59726027397261,2.3917808219178083,partly cloudy,Partly Cloudy,4,0.52
Tunisia,23.581917808219178,15.792876712328766,57.06575342465754,4.4421917808219185,partly cloudy,Partly Cloudy,4,0.5
Turkey,26.930958904109588,17.2427397260274,37.2,6.267123287671233,sunny,Clear,5,0.61
Turkmenistan,23.030958904109585,13.40027397260274,38.24383561643835,5.159452054794521,partly cloudy,Partly Cloudy,4,0.5
Tuvalu,28.68712328767123,17.26958904109589,82.32602739726028,0.4054794520547945,partly cloudy,Partly Cloudy,4,0.49
Uganda,26.587945205479453,11.155068493150685,58.21643835616438,8.905753424657535,partly cloudy,Partly Cloudy,4,0.51
Ukraine,14.21890410958904,14.507397260273972,52.93972602739726,3.5720547945205476,sunny,Clear,5,0.46
United Arab Emirates,32.36657534246575,17.586575342465753,44.33698630136986,7.102465753424657,sunny,Clear,5,0.57
United Kingdom,12.934246575342465,14.293698630136985,73.6054794520548,2.415890410958904,partly cloudy,Partly Cloudy,4,0.69
United States Of America,8.113424657534248,8.384109589041095,90.04383561643836,0.7534246575342466,clear,Clear,5,0.55
Uruguay,14.952602739726027,15.454794520547946,85.78630136986301,1.8104109589041095,sunny,Clear,5,0.41
Usa United States Of America,24.53333333333333,12.933333333333332,66.0,4.333333333333333,sunny,Clear,5,0.52
Uzbekistan,21.792328767123287,10.426027397260274,34.42739726027397,4.491780821917808,sunny,Clear,5,0.51
Vanuatu,24.280547945205477,15.044383561643835,89.69041095890411,0.40273972602739727,partly cloudy,Partly Cloudy,4,0.46
Vatican City,20.41123287671233,11.786301369863013,61.23287671232877,4.106027397260274,sunny,Clear,5,0.46
Venezuela,23.28876712328767,5.490684931506849,80.5095890410959,2.0273972602739727,clear,Clear,5,0.51
Vietnam,27.410958904109588,8.346027397260274,76.76164383561644,1.6263013698630138,patchy rain nearby,Rain,1,0.56
Yemen,23.26493150684932,12.878356164383563,23.742465753424657,8.975068493150685,sunny,Clear,5,0.55
Zambia,26.335890410958903,12.570410958904109,41.16164383561644,9.33945205479452,sunny,Clear,5,0.48
Zimbabwe,25.330684931506852,10.72931506849315,35.66027397260274,9.745753424657535,sunny,Clear,5,0.46
