country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,HRS_of_light,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Kazakhstan,10.82,0.18,208.46,8.631780821917808,18.42410958904109,62.02191780821918,2.9597260273972603,partly cloudy,Partly Cloudy,0.33,1.0,0.25,8.0
Kenya,10.05,0.68,138.2,23.555068493150685,13.545479452054796,50.52602739726027,10.136438356164383,partly cloudy,Partly Cloudy,0.5,5.0,1.0,16.0
Kuwait,21.14,1.06,755.31,31.82328767123288,16.31972602739726,25.504109589041096,6.92027397260274,sunny,Clear,0.59,0.0,0.0,0.0
Latvia,17.09,0.8,261.97,11.674794520547946,14.557808219178083,69.73698630136987,2.6684931506849314,sunny,Clear,0.47,2.0,0.125,11.0
Lebanon,21.25,1.47,478.12,23.56931506849315,13.937534246575344,58.8,5.287123287671233,partly cloudy,Partly Cloudy,0.46,1.0,1.0,7.0
Lesotho,11.66,0.47,292.75,21.507123287671234,14.63808219178082,37.78904109589041,8.343287671232877,sunny,Clear,0.43,2.0,0.625,313.0
Liberia,22.5,3.0,1312.5,27.270958904109587,10.055068493150683,83.41917808219178,4.073424657534247,partly cloudy,Partly Cloudy,0.52,2.0,0.625,5.0
Libya,8.82,0.87,143.99,27.0,31.7,74.0,7.0,sunny,Clear,0.6,2.0,0.5,3.0
Liechtenstein,47.99,4.6,1267.62,11.078082191780824,7.657808219178082,77.12876712328767,2.7156164383561645,partly cloudy,Partly Cloudy,0.35,1.0,0.0,7.0
Lithuania,16.84,0.83,345.97,11.532876712328768,15.411780821917809,67.20547945205479,2.856986301369863,sunny,Clear,0.72,1.0,0.0,7.0
Luxembourg,32.45,0.0,1473.27,11.62054794520548,14.35890410958904,74.79452054794521,2.522191780821918,partly cloudy,Partly Cloudy,0.46,1.0,0.0,7.0
Madagascar,6.8,0.16,251.06,25.848219178082196,13.212602739726028,38.5013698630137,8.114520547945206,sunny,Clear,0.46,4.0,0.625,20.0
Malawi,14.78,0.48,253.8,25.912054794520547,12.704931506849316,47.79178082191781,9.637808219178083,partly cloudy,Partly Cloudy,0.52,2.0,0.5,4.0
Malaysia,8.03,0.6,286.4,28.815068493150687,5.730684931506849,77.14520547945206,1.703013698630137,partly cloudy,Partly Cloudy,0.52,6.0,1.0,56.0
Maldives,13.0,0.65,855.01,28.10794520547945,19.06684931506849,75.02739726027397,6.037260273972603,patchy rain nearby,Rain,0.52,1.0,0.25,46.0
Mali,25.84,4.67,1000.0,29.19232876712329,12.1786301369863,46.78082191780822,4.783287671232877,sunny,Clear,0.52,2.0,0.375,47.0
