country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,uv_index,condition_text,condition_category,condition_score,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Mexico,13.6,0.53,344.19,14.240821917808216,5.998356164383562,0.8438356164383561,clear,Clear,5,9.0,0.25,12.0
Monaco,77.9,2.08,5411.9,18.585479452054795,10.58027397260274,3.2405479452054795,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Mongolia,8.76,0.07,183.6,2.6810958904109587,8.501917808219178,1.029315068493151,partly cloudy,Partly Cloudy,4,4.0,0.75,20.0
Montenegro,13.48,1.16,362.26,20.063561643835616,7.53041095890411,3.96986301369863,partly cloudy,Partly Cloudy,4,1.0,0.0,7.0
Morocco,8.6,0.44,215.18,20.518630136986303,13.737808219178085,3.3917808219178083,partly cloudy,Partly Cloudy,4,4.0,0.125,4.0
Mozambique,30.58,0.23,729.1,27.445753424657536,15.01917808219178,8.406301369863014,partly cloudy,Partly Cloudy,4,4.0,1.0,312.0
Myanmar,7.5,6.07,366.52,30.44383561643836,10.96,1.6057534246575342,partly cloudy,Partly Cloudy,4,6.0,0.75,15.0
Namibia,17.88,0.7,406.82,25.457534246575342,17.76986301369863,9.137808219178083,sunny,Clear,5,1.0,0.5,5.0
Nepal,7.09,0.27,69.53,22.274246575342467,8.103835616438356,1.9389041095890407,partly cloudy,Partly Cloudy,4,5.0,0.5,53.0
Netherlands,32.59,3.45,1093.86,13.113150684931508,16.705205479452054,2.5306849315068494,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
New Zealand,32.72,2.14,836.77,13.544109589041096,23.4986301369863,0.4054794520547945,clear,Clear,5,3.0,0.5,16.0
Nicaragua,11.92,0.28,176.77,24.37452054794521,9.763561643835615,2.054794520547945,partly cloudy,Partly Cloudy,4,1.0,0.25,1.0
Niger,15.19,0.32,533.06,31.880273972602737,19.112876712328767,6.089315068493151,sunny,Clear,5,1.0,1.0,5.0
Nigeria,6.88,0.3,625.84,29.79808219178082,8.181095890410958,5.919726027397259,partly cloudy,Partly Cloudy,4,12.0,0.0,242.0
North Korea,10.24,0.65,393.905,12.302739726027395,11.035890410958904,0.6309589041095891,clear,Clear,5,0.0,0.0,0.0
Norway,42.57,3.82,927.18,7.935068493150686,14.411780821917809,2.283835616438356,sunny,Clear,5,1.0,0.0,7.0
Oman,12.52,1.49,383.43,31.48109589041096,15.954246575342466,7.212328767123288,sunny,Clear,5,0.0,0.0,0.0
Pakistan,5.09,0.18,70.48,28.87616438356164,10.32027397260274,5.126301369863014,sunny,Clear,5,18.0,0.25,118.0
Panama,16.45,0.36,606.79,25.596986301369864,7.432054794520547,2.108493150684932,partly cloudy,Partly Cloudy,4,1.0,0.25,1.0
Papua New Guinea,22.25,0.57,5076.75,26.375890410958903,13.109041095890412,0.4068493150684931,partly cloudy,Partly Cloudy,4,1.0,1.0,1.0
Paraguay,10.65,0.49,309.38,21.48164383561644,10.388767123287671,2.35972602739726,sunny,Clear,5,2.0,0.75,21.0
Peru,8.22,0.35,244.52,17.818082191780825,8.19890410958904,1.83013698630137,partly cloudy,Partly Cloudy,4,13.0,0.25,98.0
Philippines,8.5,0.28,239.16,29.76986301369863,13.029863013698629,0.8452054794520548,partly cloudy,Partly Cloudy,4,19.0,1.0,120.0
Poland,13.97,0.79,425.9,13.88082191780822,14.32986301369863,3.276164383561644,sunny,Clear,5,1.0,0.0,7.0
Portugal,17.58,1.7,633.97,18.05178082191781,15.57123287671233,3.1002739726027397,partly cloudy,Partly Cloudy,4,2.0,0.25,12.0
Qatar,24.03,0.55,1435.58,32.45972602739726,19.238630136986306,7.298356164383562,sunny,Clear,5,0.0,0.0,0.0
Romania,13.83,0.55,260.99,17.49342465753425,12.37945205479452,4.148767123287671,sunny,Clear,5,3.0,0.0,11.0
Russia,19.26,0.52,393.1,11.468767123287671,14.742465753424655,3.1035616438356164,sunny,Clear,5,0.0,0.0,0.0
Rwanda,15.25,0.32,428.83,25.72246575342466,7.616986301369862,9.665479452054797,partly cloudy,Partly Cloudy,4,2.0,0.5,4.0
Saint Kitts And Nevis,46.26,1.11,610.53,27.02794520547945,24.507123287671234,2.20027397260274,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Saint Lucia,31.45,0.93,478.76,27.291780821917808,19.866301369863013,2.303287671232877,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Saint Vincent And The Grenadines,32.38,0.74,342.27,27.67287671232877,25.26821917808219,2.257808219178082,patchy rain nearby,Rain,1,0.0,0.0,0.0
Samoa,14.94,2.15,1073.79,25.70986301369863,19.22219178082192,0.4071232876712328,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
San Marino,27.18,2.08,532.33,17.8413698630137,12.90931506849315,3.476438356164384,sunny,Clear,5,0.0,0.0,0.0
Saudi Arabia,18.31,0.84,359.62,32.201369863013696,16.525753424657534,7.996712328767123,sunny,Clear,5,1.0,0.25,1.0
Senegal,19.6,0.36,448.44,25.08164383561644,20.82109589041096,3.6347945205479455,sunny,Clear,5,3.0,0.0,4.0
Serbia,10.44,0.85,189.85,17.244657534246574,12.77068493150685,3.9649315068493154,sunny,Clear,5,5.0,0.25,27.0
Sierra Leone,15.0,0.15,1438.66,26.913150684931505,9.64986301369863,3.7936986301369866,partly cloudy,Partly Cloudy,4,1.0,0.25,5.0
Singapore,30.03,1.46,2660.73,29.0,13.105205479452051,1.703013698630137,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Slovakia,14.48,0.83,441.58,14.884383561643835,15.113972602739729,3.3734246575342466,sunny,Clear,5,2.0,0.0,7.0
Slovenia,17.82,1.42,415.75,14.65808219178082,7.3742465753424655,3.1843835616438354,partly cloudy,Partly Cloudy,4,3.0,0.5,9.0
Solomon Islands,27.36,0.36,587.72,26.336164383561645,8.667123287671233,0.4054794520547945,partly cloudy,Partly Cloudy,4,1.0,1.0,2.0
Somalia,9.33,1.46,203.34,29.144657534246573,27.655342465753428,9.402739726027397,partly cloudy,Partly Cloudy,4,6.0,1.0,99.0
South Africa,15.56,1.35,350.23,23.46849315068493,12.766575342465751,8.55917808219178,sunny,Clear,5,12.0,0.25,36.0
South Korea,14.79,1.01,372.7,14.50219178082192,10.035890410958904,0.6356164383561644,clear,Clear,5,0.0,0.0,0.0
Spain,21.32,1.56,651.58,17.300273972602742,11.432054794520548,3.60986301369863,sunny,Clear,5,7.0,0.0,306.0
Sri Lanka,3.44,0.17,81.11,29.867123287671237,16.34,3.5767123287671234,partly cloudy,Partly Cloudy,4,5.0,0.5,49.0
Sudan,10.0,0.45,293.96,34.07068493150685,17.74027397260274,8.297534246575342,sunny,Clear,5,0.0,0.0,0.0
Suriname,40.0,0.44,394.71,24.952328767123287,9.326027397260274,2.36,partly cloudy,Partly Cloudy,4,1.0,0.0,1.0
Swaziland,5.93,1.17,285.14,23.696164383561644,10.361917808219175,8.047123287671232,sunny,Clear,5,0.0,0.0,0.0
Sweden,32.07,2.82,717.9,10.9813698630137,15.384657534246577,2.4983561643835617,sunny,Clear,5,1.0,0.0,7.0
Switzerland,54.42,3.86,1450.99,12.844931506849314,7.469315068493151,2.775616438356165,partly cloudy,Partly Cloudy,4,3.0,0.0,11.0
Syria,8.87,0.1,134.46,24.26493150684932,15.88164383561644,6.102739726027397,sunny,Clear,5,0.0,0.0,0.0
Tajikistan,5.52,0.3,388.58,21.80520547945205,7.271780821917807,4.365753424657535,sunny,Clear,5,2.0,0.25,5.0
Tanzania,13.2,0.32,248.32,27.44301369863014,11.836712328767122,10.473698630136989,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
