country,Holiday_Index_PCA,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Singapore,0.8405845998479617,2.42106683558218,0.1231896338706315,1.3618788223947038,1.4040524043834006,-1.4688658110782142,-1.431998272614572,0.4394562063439605
Slovakia,0.7968131494053393,0.481473452808991,-0.0346095271628977,-1.08923854342948,-0.666918109809232,0.0417499559247904,-0.2532926895689217,-0.447385633906204
Slovenia,0.6523920657980297,0.0576974118505065,-1.1298339260306542,-0.8774057324738892,0.7898682014050523,0.2454132906473646,0.8029446110071794,-0.0858136731218534
Solomon Islands,0.5067474224512736,-0.2978855018642006,-0.6121641767374677,0.0177217829294886,2.3640356642844718,0.9614634778939052,-0.6570132968980474,0.1448371729997935
Somalia,0.507752589960745,-1.7802295214277009,1.706728044488819,2.5400480447155607,-0.942726194552673,2.4048204221664813,0.6257893523211322,0.0217391723080507
South Africa,0.6203774113109464,-1.262342424531888,-0.0303391429311489,0.8613784489540159,-0.9186386818879836,-0.6582518732564606,0.9056207857786592,0.518531020748162
South Korea,0.7994844407667548,0.7781096557461477,-0.7653889087540863,-1.8613579051658935,0.0219008667814667,-0.1437177801444282,-0.3148377614402539,-0.0883929622449094
Spain,0.4997281925261229,-0.6441154353962997,-2.3501735282752465,1.3037658083933088,-1.7756217004484174,-0.9812848406326202,0.307921880018597,-0.959904142074822
Sri Lanka,0.5415200548744454,-1.817485056048439,0.6428969663036425,0.0264287096328839,-0.0479353289885195,0.6258949612689836,-0.8812551265664621,0.5840690300297098
Sudan,0.8356423922238726,-0.7777619608725335,2.7020963764033024,0.2433560385890365,-0.5493635578613024,-0.6915625385397677,0.0078714369453931,0.3578504732101981
Suriname,0.8117480885363815,0.9535114116025476,0.0027942424001689,-0.4579438796737676,0.2881307777499791,-1.0386676202015306,-0.5255310508127973,-0.1526947131890812
Swaziland,0.833529242046959,-0.51779525462847,1.285334246711312,-0.7822184604360206,-0.1748624860666007,-0.9854906870982836,1.2098377604892026,0.1363995182332396
Sweden,0.9264892286970188,2.477706885080694,-0.9107030343567352,-0.3887859913264475,-0.841126207077205,0.4150089423313935,0.7315953446110379,-0.0331942692418872
Switzerland,0.9478423622258048,3.70454555379505,-2.05158822666042,0.755378461611695,0.1139467455613684,-0.9176551836166064,1.5350002587199914,0.3411310850711951
Syria,0.8038252706245844,-0.5868869014859966,1.610798025292919,-0.8757314806386822,-0.5512399970415987,-0.3396036568628168,-0.1888243234688421,-0.3235518472500311
Tajikistan,0.6635726243225549,-0.9596393123672838,0.0874643701717376,-1.2162951151434864,0.7335609608607303,-0.6847941750354976,0.1303965088851819,-0.0013939169890025
Tanzania,0.8307175113544457,-0.8820940104645826,2.224423338374143,-0.2117726333871551,-0.222087200996987,-1.3505555754325045,1.1014929582452018,-0.4538155313851384
Thailand,0.5649262027176485,-1.2126992520781017,-0.2850023584008029,-0.4713211514007188,0.9239790792158308,-0.0491017843641136,-0.52336695722767,1.0782883235089686
Timor-Leste,0.7625499048922086,0.3814288177624947,-0.0089831681413738,-1.0515016149991931,0.7344429182239316,-1.0139919706128564,-1.0958968285394142,0.2749373837583216
